date,time,city,position,longitude,latitude,depth_value,description
2020-06-15 09:34:00,,南京,鼓楼区大桥新村小区,118.751341,32.102579,,积水，有人被困
2019-06-06 11:15:00,,南京,新模范马路地铁站2号出口,118.783714,32.079871,,积水较深，不少乘客拥在出口处无法出行
2022-06-24 22:41:00,,南京,建邺区银轮花园一地下室,118.744052,32.027879,,被淹
2023-08-23 11:16:00,,南京,北安门街富贵山小区,118.821072,32.050526,60-70厘米,
2023-08-13 20:47:00,,南京,扬子江大道东侧往江心洲匝道口,118.700750,32.007565,,出现一处积水，并且漫至路旁的绿化带中
2023-07-17 10:28:00,,南京,江宁区汤山海泽路,119.047932,32.054127,,一片汪洋……路面拱起
2023-07-19 16:48:00,,南京,和燕路隧道,118.811927,32.109083,,
2023-07-19 16:59:00,,南京,绕城公路油坊桥立交往江心洲长江大桥方向,118.730158,31.971853,,
2023-08-13 20:47:00,,南京,扬子江大道东侧往江心洲匝道口附近,118.700750,32.007565,,车辆纷纷减慢速度通过
2023-08-13 20:47:00,,南京,扬子江大道绿博园附近的一处隧道内,118.716735,32.024161,,车辆纷纷减慢速度通过
2023-08-13 20:47:00,,南京,江东中路的部分辅道,118.732449,32.009339,,车辆纷纷减慢速度通过
2023-08-13 21:14:00,,南京,扬子江大道东侧往江心洲匝道口,118.700750,32.007565,,出现一处积水，并且漫至路旁的绿化带中
2023-08-13 21:14:00,,南京,扬子江大道东侧往江心洲匝道口附近,118.700750,32.007565,,出现一处积水
2023-08-13 21:14:00,,南京,扬子江大道绿博园附近的一处隧道内,118.716735,32.024161,,出现一处积水
2023-08-13 21:14:00,,南京,江东中路的部分辅道,118.732449,32.009339,,出现一处积水
2023-08-22 09:54:00,,南京,栖霞大道仙新路路口、栖霞大道甘家巷跨线桥、炼西路,118.914101,32.142147,,积水较为严重
2023-08-22 09:54:00,,南京,尧新大道恒通大道路口,118.866656,32.145597,,积水较为严重
2023-08-22 09:54:00,,南京,秦淮区凤台路,118.768536,32.022774,,积水较为严重
2023-08-22 09:54:00,,南京,玄武区东苑路,118.844730,32.026864,,积水较为严重
2023-08-22 09:54:00,,南京,双麒路金盛路附近,118.829317,31.973011,,积水较为严重
2023-08-22 09:54:00,,南京,中山门大街下马坊胜利村路,118.850972,32.029038,,积水较为严重
2020-07-11 11:26:00,,南京,西街、长桥路,118.531668,31.942540,,多处积水点及雨水倒灌入户情况
2020-06-16 17:27:00,,南京,楠溪江东街,118.732461,31.992330,,产生了大量积水
2023-07-19 16:48:00,,南京,玄武区仙岔路路口,118.871833,32.093318,,积水严重
2023-08-22 09:44:00,,南京,双麒路金盛路,118.829317,31.973011,,路面出现积水
2023-07-19 16:50:00,,南京,仙尧路花卉市场,118.883353,32.104663,,积水
2021-07-25 22:43:00,,上海,张庄公路,121.151611,30.987179,,积水严重，现已封路
2023-07-21 19:04:00,,上海,杨浦区控江路小区,121.545949,31.287524,,积水严重，一楼在抽水
2023-09-13 11:36:00,,上海,浦东新区的上海农产品中心批发市场,121.558110,31.164351,,水深没过脚踝
2019-06-09 16:12:00,,上海,铁西路下穿,116.65,40.14,,
2019-06-09 16:12:00,,上海,东安路铁路下穿快车道,121.309644,31.735428,,
2019-06-09 16:12:00,,上海,相人山路,110.28,25.21,,
2019-06-09 16:12:00,,上海,甲山下穿,121.22,31.12,,
2019-06-09 16:12:00,,上海,上海路立交桥北侧慢车道,121.564286,31.141687,,
2019-06-09 16:12:00,,上海,穿山东路（万达段）,110.31,25.25,,
2019-06-09 16:12:00,,上海,骖鸾路与环城南一路交叉口,121.74,31.03,,
2019-06-09 16:12:00,,上海,建干北路,121.486640,31.253236,,
2019-06-09 16:12:00,,上海,毛塘路与环城南一路交叉口,121.74,31.03,,
2019-06-09 16:12:00,,上海,西二环社塘村,121.03,30.88,,
2019-06-09 16:12:00,,上海,阳江(和东安路交叉点)路,116.66,40.14,,
2019-06-09 16:12:00,,上海,环城南一路与七星路,116.44,40.08,,
2019-06-09 16:12:00,,上海,七星路与桂磨路交叉口,121.35,31.15,,
2019-06-09 16:12:00,,上海,银锭路与民主路交叉路口,121.309870,31.291517,,
2019-06-09 16:12:00,,上海,东二环朝阳山庄,120.879463,31.119409,,
2019-06-09 16:12:00,,上海,丽君路下穿非机动车道,121.217877,31.038462,,
2019-06-09 16:12:00,,上海,香江立交南侧慢车道,121.45,31.25,,
2019-06-09 16:12:00,,上海,虞山桥西侧下穿,110.31,25.30,,
2019-06-09 16:12:00,,上海,东二环与育才路口,121.592980,31.617919,,
2019-06-09 16:12:00,,上海,环城南一路与桂磨路交叉口,116.47,39.87,,
2019-06-09 16:12:00,,上海,环城西一路石化加油站,121.52,31.27,,
2023-08-17 18:41:00,,上海,绕城高速内圈浦东东川公路下立交附近,121.709872,31.252548,,出现了明显积水
2021-07-27 09:36:00,,上海,虹梅南路万辉广场,121.436470,31.089675,,严重积水
2023-12-01 16:08:34,,上海,黄浦区陕西南路长乐路,121.456400,31.219922,,水面常常漫到了屋内第二级楼梯
2023-06-27 10:38:00,,深圳,龙华区地标性商圈壹方城,114.030175,22.643234,,
2023-09-15 23:15:24,,深圳,宝安区,113.883831,22.554986,70公分,发生内涝
2023-09-15 23:15:24,,深圳,东风幼儿园,113.848761,22.772172,70公分,发生内涝
2023-09-08 00:43:17,,深圳,河道区域,114.04,22.51,,
2023-09-08 15:25:15,,深圳,龙岗区坪地街道南岸路,114.306847,22.754726,1.5米,有30多人被困车顶
2023-09-08 14:22:19,,深圳,龙岗区南坪快速路面,114.316980,22.661687,,积水，积水
2023-09-08 14:22:19,,深圳,盐田坳隧道上行右侧,114.242525,22.606620,,积水，积水
2023-09-08 18:52:36,,深圳,龙城街道畲吓村、锦绣村、前进村等,114.228367,22.696662,,积水严重区域，部分地段积水达到1.5米
2020-07-31 14:15:00,,天津,中环线,117.54,38.68,,积水
2023-08-01 19:50:00,,天津,西北半环快速路,117.128966,39.178737,,积水
2022-08-06 09:00:00,,天津,南开区嘉陵道,117.143145,39.126410,,开车像划船
2021-07-29 15:54:00,,天津,滨江道,117.199534,39.124529,,
2023-07-31 15:36:00,,天津,北辰马路,117.135614,39.224638,,积水成河
2023-07-31 19:29:00,,天津,北辰宜兴埠,117.217429,39.198171,,
2022-07-03 00:00:00,,天津,津南区小站镇,117.44,38.92,,积水较大排水不好
2023-08-14 17:11:00,,天津,武清区黄花店镇甄营村路面,116.885916,39.377527,,
2023-08-14 17:11:00,,天津,武清区黄花店镇甄营村,116.885916,39.377527,,
2022-06-28 20:54:00,,天津,西青区同盛里小区,117.042089,39.146071,,一楼己经进水
2021-10-03 17:43:00,,天津,河东区成林道,117.254840,39.129603,,
2022-08-06 09:33:00,,天津,白堤路学府街菜市场路段,117.159193,39.117276,,积水成河
2023-08-11 13:25:00,,天津,武清区甄营村，大棚,116.886937,39.379390,一米以上,
2021-07-30 19:05:00,,天津,河东区上杭路万顺里小区,117.265584,39.123912,,积水严重
2019-07-18 17:34:00,,天津,南市荣业大街,117.184665,39.131146,,
2023-08-08 12:18:00,,天津,104国道辛口段,116.966065,39.081737,,
2023-09-12 15:29:00,,天津,西青区辛口镇第六埠村,116.929876,39.066676,,
2023-08-11 13:25:00,,天津,武清区甄营村,116.886937,39.379390,一米以上,
2022-07-26 12:28:00,,天津,中山北路,117.216296,39.166045,,积水
2023-08-01 19:31:00,,天津,虹桥丁字沽三号路段,117.148600,39.133319,,严重积水
2020-08-24 10:15:00,,天津,蓟州区下营镇体育训练基地至黄崖关村东区,117.446437,40.241452,,积水
2022-07-26 11:47:00,,天津,河北区五马路,117.189599,39.156956,,大雨积水
2022-08-06 09:38:00,,天津,南开区雅安道/咸阳路/长江道,117.138667,39.130598,,积水
2023-09-26 18:05:00,,武汉,太海路燕丹村幼儿园路段,116.44,40.08,1米左右,经常导致断路，甚至不少井盖被雨水顶开，不仅影响村民出行，还存在一定安全隐患
2023-07-20 08:50:00,,武汉,江汉路步行街,114.293070,30.579603,,积水
2023-04-23 20:15:00,,武汉,东湖新技术开发区花山街一处铁路桥下,114.512344,30.548932,,两辆轿车在通过此路段时被淹，其中一辆车内一家三口被困
2023-10-11 18:49:00,,武汉,永丰街道谷水佳苑小区,114.328626,30.526927,,有大量积水
2023-06-18 23:16:00,,武汉,高新大道光谷三路道路,114.480981,30.472847,,严重渍水 多辆车被淹水中
2023-04-03 17:56:00,,武汉,江夏大道庙山医药园公交车站,114.372526,30.411328,,出现临时积水，有关部门迅速行动
2023-04-03 17:47:00,,武汉,江夏大道庙山广信万汇城段,114.372875,30.419146,,出现短时间积水，路过的车主请注意避让
2021-08-04 16:45:00,,西安,纺渭路快速干道（西临高速）桥,109.077166,34.301804,,产生积水，该积水点水深已经到成年人腰部
2020-06-17 11:31:00,,西安,北三环罗高路十字南边,108.894628,34.326152,,积水严重
2020-06-17 11:31:00,,西安,北二环大白杨,108.903074,34.293107,,积水严重
2020-06-17 11:31:00,,西安,石化大道北徐十字东边,108.864475,34.322447,,积水严重
2020-06-17 11:31:00,,西安,东大街开元口，黄雁村十字,108.95,34.26,,积水严重
2020-06-17 11:31:00,,西安,明路3号桥（新增）、7号桥、8号桥,108.867883,34.252365,,积水严重
2020-06-17 11:31:00,,西安,钟楼盘道西口积水,108.328100,34.068806,,积水严重
2020-06-17 11:31:00,,西安,华清西路受施工影响西北物流至贝斯特物流由西向东方向,108.98,34.28,,积水严重
2020-06-17 11:31:00,,西安,唐都医院丁字口,109.063387,34.284897,,积水严重
2020-06-17 11:31:00,,西安,半坡公交枢纽站门口,109.049346,34.276919,,积水严重
2020-06-17 11:31:00,,西安,雁塔辖区（1处）长安路雁环路十字,108.924387,34.182929,,积水严重
2020-06-17 11:31:00,,西安,西部大道靖宁路十字,108.919562,34.164128,,积水严重
2020-06-17 11:31:00,,西安,郭杜北街、香积大街、仓台西路与书香路交叉口、西沣路三岔口,108.896823,34.158342,,积水严重
2020-06-17 11:31:00,,西安,西铜一级路东风桥下转盘,108.97,34.39,,积水严重
2023-07-28 16:26:00,,西安,纺园一路、万象湾柳新路,109.073719,34.290572,,十字积水严重
2023-07-28 16:26:00,,西安,京昆高速阎良段辖区,108.854301,34.345862,,十字积水严重
2023-07-28 16:26:00,,西安,灞桥：向阳北路,109.131843,34.305717,,十字积水严重
